10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,VALID VOTES POLLED,,,,
STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Punjab,41,Urmar,1 Jasvir Singh Raja Gill,MALE,52,GENERAL,AAAP,Broom,42029,547,42576,34.01,183066
Punjab,41,Urmar,2 Sangat Singh Gilzian,MALE,68,GENERAL,INC,Hand,38148,238,38386,30.66,183066
Punjab,41,Urmar,3 Lakhwinder Singh,MALE,62,GENERAL,BSP,Elephant,23030,161,23191,18.52,183066
Punjab,41,Urmar,4 Manjit Singh,MALE,68,GENERAL,SADS,Telephone,10910,46,10956,8.75,183066
Punjab,41,Urmar,5 Kuldip Singh,MALE,68,GENERAL,SAD(M),SHIP,6862,28,6890,5.5,183066
Punjab,41,Urmar,6 NOTA,,,,NOTA,NOTA,875,5,880,0.7,183066
Punjab,41,Urmar,7 Arashdeep Singh,MALE,35,GENERAL,IND,Cot,822,7,829,0.66,183066
Punjab,41,Urmar,8 Harjinder Singh,MALE,44,GENERAL,NATJUP,Truck,586,3,589,0.47,183066
Punjab,41,Urmar,9 Baljit Singh,MALE,31,SC,IND,Bat,526,1,527,0.42,183066
Punjab,41,Urmar,10 Gurdial Singh,MALE,63,SC,BDPty,BUCKET,378,3,381,0.3,183066
TURN OUT,,,,,,TOTAL:,,,124166,1039,125205,68.39,
Punjab,42,Sham Chaurasi,1 DR.RAVJOT SINGH,MALE,45,SC,AAAP,Broom,60202,528,60730,48.97,178919
Punjab,42,Sham Chaurasi,2 PAWAN KUMAR ADIA,MALE,61,SC,INC,Hand,39211,163,39374,31.75,178919
Punjab,42,Sham Chaurasi,3 MOHINDER SINGH SANDHAR,MALE,53,SC,BSP,Elephant,13357,155,13512,10.89,178919
Punjab,42,Sham Chaurasi,4 KARAMJIT SINGH BABLU JOSH,MALE,49,SC,IND,Football,3447,12,3459,2.79,178919
Punjab,42,Sham Chaurasi,5 DES RAJ DHUGGA,MALE,58,SC,SADS,Telephone,3099,53,3152,2.54,178919
Punjab,42,Sham Chaurasi,6 BHAGWAN DASS,MALE,56,SC,IND,Cot,1916,11,1927,1.55,178919
Punjab,42,Sham Chaurasi,7 NOTA,,,,NOTA,NOTA,1085,10,1095,0.88,178919
Punjab,42,Sham Chaurasi,8 MOHINDER LAL,MALE,74,SC,SMJSNGP,Helicopter,765,10,775,0.62,178919
TURN OUT,,,,,,TOTAL:,,,123082,942,124024,69.32,
Punjab,43,Hoshiarpur,1 BRAM SHANKER (JIMPA),MALE,56,GENERAL,AAAP,Broom,50733,379,51112,39.96,193247
Punjab,43,Hoshiarpur,2 SUNDER SHAM ARORA,MALE,63,GENERAL,INC,Hand,37080,173,37253,29.13,193247
Punjab,43,Hoshiarpur,3 TIKSHAN SUD,MALE,67,GENERAL,BJP,Lotus,23833,140,23973,18.74,193247
Punjab,43,Hoshiarpur,4 VIRINDER SINGH PARHAR,MALE,62,GENERAL,BSP,Elephant,11979,108,12087,9.45,193247
Punjab,43,Hoshiarpur,5 RAJVEER SINGH KALSI,MALE,27,GENERAL,IND,Ganna Kisan,1183,4,1187,0.93,193247
Punjab,43,Hoshiarpur,6 NOTA,,,,NOTA,NOTA,1140,11,1151,0.9,193247
Punjab,43,Hoshiarpur,7 DR. NARESH SAGGAR,MALE,61,GENERAL,SRVSNJP,Battery torch,544,1,545,0.43,193247
Punjab,43,Hoshiarpur,8 JASVIR SINGH,MALE,47,GENERAL,IND,DIAMOND,304,0,304,0.24,193247
Punjab,43,Hoshiarpur,9 OM PARKASH JAKHU,MALE,80,SC,BDPty,BUCKET,293,2,295,0.23,193247
TURN OUT,,,,,,TOTAL:,,,127089,818,127907,66.19,
Punjab,44,Chabbewal,1 DR. RAJ KUMAR,MALE,52,SC,INC,Hand,47228,147,47375,41.02,162191
Punjab,44,Chabbewal,2 HARMINDER SINGH,MALE,35,SC,AAAP,Broom,39509,220,39729,34.4,162191
Punjab,44,Chabbewal,3 SOHAN SINGH THANDAL,MALE,67,SC,SAD,Scales,19229,100,19329,16.73,162191
Punjab,44,Chabbewal,4 DR. DILBAG RAI,MALE,63,SC,BJP,Lotus,4042,31,4073,3.53,162191
Punjab,44,Chabbewal,5 RASHPAL SINGH RAJU,MALE,59,SC,IND,Cot,1237,2,1239,1.07,162191
Punjab,44,Chabbewal,6 NOTA,,,,NOTA,NOTA,978,3,981,0.85,162191
Punjab,44,Chabbewal,7 GURNAM SINGH,MALE,74,SC,BDPty,BUCKET,740,2,742,0.64,162191
Punjab,44,Chabbewal,8 SODHI RAM,MALE,42,SC,LIP,Letter Box,626,2,628,0.54,162191
Punjab,44,Chabbewal,9 RAMAN KUMAR,MALE,36,SC,IND,Television,488,4,492,0.43,162191
Punjab,44,Chabbewal,10 BUDH DAYAL,MALE,39,SC,IND,Truck,479,1,480,0.42,162191
Punjab,44,Chabbewal,11 DAVINDER KUMAR,MALE,45,SC,SBM,Gas Cylinder,230,0,230,0.2,162191
Punjab,44,Chabbewal,12 DAVINDER SINGH,MALE,44,SC,IND,Football,206,2,208,0.18,162191
TURN OUT,,,,,,TOTAL:,,,114992,514,115506,71.22,
Punjab,45,Garhshankar,1 JAI KRISHAN,MALE,39,GENERAL,AAAP,Broom,32045,296,32341,26.41,176304
Punjab,45,Garhshankar,2 AMARPREET SINGH LALLY,MALE,39,GENERAL,INC,Hand,28048,114,28162,22.99,176304
Punjab,45,Garhshankar,3 SURINDER SINGH HEER,MALE,67,GENERAL,SAD,Scales,25257,173,25430,20.76,176304
Punjab,45,Garhshankar,4 NIMISHA MEHTA,FEMALE,40,GENERAL,BJP,Lotus,24536,199,24735,20.2,176304
Punjab,45,Garhshankar,5 JANG BAHADUR SINGH,MALE,76,GENERAL,IND,COMPUTER,4091,15,4106,3.35,176304
Punjab,45,Garhshankar,6 MOHAN SINGH,MALE,49,GENERAL,IND,SHIP,2466,4,2470,2.02,176304
Punjab,45,Garhshankar,7 IQBAL SINGH,MALE,40,GENERAL,SADAHAQ,Ganna Kisan,1947,2,1949,1.59,176304
